party-id;communication-id;content;content-type;channel;communication-date;record-date
dcd0f3ec-fbd7-4bcc-910d-b6620d9bceb3;0deed494-8494-42cc-8f47-acbcb2fc4c90;How can I create or print a shipping label or invoice?;text;email;2023-10-15 00:08:16;2023-12-26 18:50:26
dcd0f3ec-fbd7-4bcc-910d-b6620d9bceb3;5cd48591-be0f-4c0a-9b96-718be41e5cf4;How can I contact you if I have a question or complaint?;text;email;2023-10-15 00:08:20;2023-12-26 18:50:26
dcd0f3ec-fbd7-4bcc-910d-b6620d9bceb3;d3ef21b6-4cf2-47c9-9aaf-3e2ff814dbac;How can I contact you if I have a question or complaint?;text;email;2023-11-02 23:09:09;2023-12-26 18:50:26
dcd0f3ec-fbd7-4bcc-910d-b6620d9bceb3;1c7f5b0f-ccbc-4811-8ce6-bcea423fae10;Could you please clarify this for me?;text;email;2023-11-20 14:48:07;2023-12-26 18:50:26
dcd0f3ec-fbd7-4bcc-910d-b6620d9bceb3;fb3f71a1-d844-4829-8474-1d2649a60529;I’m having difficulty accessing the website.;text;email;2023-11-20 14:48:07;2023-12-26 18:50:26
dcd0f3ec-fbd7-4bcc-910d-b6620d9bceb3;07f705f8-7523-49c2-9dd8-e6e76f93396c;Week some organization culture wind how anyone perform we inside.;text;email;2023-12-08 01:07:29;2023-12-26 18:50:26
dcd0f3ec-fbd7-4bcc-910d-b6620d9bceb3;20261913-c5df-4461-8920-798baa5ed050;How can I increase or decrease my credit limit or spending power?;text;chat;2023-12-26 20:49:24;2023-12-26 18:50:26
f70e509f-c40c-4956-a4f0-e7e67eea5a8d;882c6230-5924-4c22-9588-ab44e376744f;Rule since garden old learn build loss walk usually business receive morning.;text;email;2023-10-15 23:58:56;2023-12-26 18:50:26
f70e509f-c40c-4956-a4f0-e7e67eea5a8d;2a2afa71-47e5-457e-9224-cce77bea54a6;Might hand though born north see term some science final build half.;text;email;2023-11-02 09:21:55;2023-12-26 18:50:26
f70e509f-c40c-4956-a4f0-e7e67eea5a8d;1756d660-12d1-47d2-90d9-2444834a99fb;How can I apply for a loan or credit card?;text;email;2023-11-20 12:05:07;2023-12-26 18:50:26
f70e509f-c40c-4956-a4f0-e7e67eea5a8d;c9eeea2a-ecf9-4901-af91-ed077a2ca7ca;How do I change my order?;text;email;2023-11-20 12:05:12;2023-12-26 18:50:26
f70e509f-c40c-4956-a4f0-e7e67eea5a8d;c408c1b7-fca6-4524-af85-fffc13d9d464;Very new foreign senior key size plan worry sometimes hit.;text;chat;2023-12-08 06:18:36;2023-12-26 18:50:26
f70e509f-c40c-4956-a4f0-e7e67eea5a8d;2d067959-a63e-4eff-aa0e-8cc5e859d6d2;Factor line cover hotel learn chance least drive executive far drug heavy official.;text;email;2023-12-08 06:18:37;2023-12-26 18:50:26
f70e509f-c40c-4956-a4f0-e7e67eea5a8d;02a5cfa7-d0ce-4e3b-8800-7756d1e4fbcc;Support trouble respond face maintain go fast think smile community.;text;email;2023-12-26 06:01:55;2023-12-26 18:50:26
cf5788aa-b52d-4cfc-b790-6d32bf9718b5;bb68c403-2e5b-40be-9e21-801135b241a6;How can I activate or deactivate my card or account?;text;email;2023-10-15 11:32:40;2023-12-26 18:50:26
cf5788aa-b52d-4cfc-b790-6d32bf9718b5;acd290f6-1c61-4fa3-a6a0-3b62fc44c908;How can I file a claim in case of an accident or emergency?;text;email;2023-11-02 08:17:54;2023-12-26 18:50:26
cf5788aa-b52d-4cfc-b790-6d32bf9718b5;5e7a9e67-ed9f-4eae-a57c-58b9da3f21af;You promised me a delivery by yesterday, but I still haven’t received my order! Where is it?;text;email;2023-11-20 21:16:57;2023-12-26 18:50:26
cf5788aa-b52d-4cfc-b790-6d32bf9718b5;48e71372-2314-4fb4-85b1-dc0d243da12e;How can I activate or deactivate my card or account?;text;email;2023-12-08 07:55:47;2023-12-26 18:50:26
cf5788aa-b52d-4cfc-b790-6d32bf9718b5;6abfa805-4ff7-403c-91fd-92cf4e1e3097;How can I create or print a shipping label or invoice?;text;email;2023-12-26 22:05:58;2023-12-26 18:50:26
cf5788aa-b52d-4cfc-b790-6d32bf9718b5;7234b1b8-eb55-4ffd-80fd-6fc4faf47514;How can I schedule or cancel a pickup or delivery?;text;email;2023-12-26 22:06:05;2023-12-26 18:50:26
ae7fb266-4781-4e5f-8470-f9afba496751;5473a6b1-3a3f-4aff-92cf-9cbffa8b099f;How can I dispute or resolve a charge or fee on my card?;text;email;2023-10-15 09:20:49;2023-12-26 18:50:26
ae7fb266-4781-4e5f-8470-f9afba496751;d72f1b65-432b-4b99-9e86-81c5d4d62335;How can I set up or change a payment plan or due date for my card?;text;email;2023-10-15 09:20:59;2023-12-26 18:50:26
ae7fb266-4781-4e5f-8470-f9afba496751;0096e74b-86d8-47e6-89f0-72c2d3e8dd0f;Across third several manage you tax policy whom lose process reality add data.;text;email;2023-10-31 00:33:53;2023-12-26 18:50:26
ae7fb266-4781-4e5f-8470-f9afba496751;5cfb352b-d0ba-4aec-a472-97d930a3b6a7;Home second purpose believe claim chance interesting modern recent hair difficult woman several serve environmental.;text;email;2023-10-31 00:33:55;2023-12-26 18:50:26
ae7fb266-4781-4e5f-8470-f9afba496751;bd8d6413-69fc-413b-9f08-3891315b23c6;What is the warranty period?;text;email;2023-11-18 01:00:24;2023-12-26 18:50:26
ae7fb266-4781-4e5f-8470-f9afba496751;a205b40e-15ba-4d40-8d36-34c62610030b;How can I get a balance transfer or cash advance with my card?;text;chat;2023-12-06 04:00:40;2023-12-26 18:50:26
ae7fb266-4781-4e5f-8470-f9afba496751;d60bace1-0047-45bd-bfc7-dde272bc1de2;How do I track my order?;text;email;2023-12-24 23:04:04;2023-12-26 18:50:26
ae7fb266-4781-4e5f-8470-f9afba496751;33c30441-74a8-407b-b9e2-c39a07869499;How do I change my order?;text;chat;2023-12-24 23:04:09;2023-12-26 18:50:26
e3f31730-3b7f-4016-bc0e-8d718ef81f9e;7db38c38-8c35-492b-ba5b-3be2e7f47d01;Teach economic audience pattern benefit probably course agency son clearly should continue way.;text;email;2023-10-15 10:11:18;2023-12-26 18:50:26
e3f31730-3b7f-4016-bc0e-8d718ef81f9e;6a685658-c5a2-4a93-9424-d62b4e16653d;How can I check my balance or transaction history?;text;email;2023-11-02 21:59:57;2023-12-26 18:50:26
e3f31730-3b7f-4016-bc0e-8d718ef81f9e;a6a8fa6d-e200-482e-b260-8d529fdbcbe8;How can I transfer or assign my policy to someone else?;text;chat;2023-11-20 05:39:11;2023-12-26 18:50:26
e3f31730-3b7f-4016-bc0e-8d718ef81f9e;510fe7c6-565e-46d7-9e4f-60e155821828;How can I avoid or reduce interest or late fees on my card?;text;email;2023-11-20 05:39:12;2023-12-26 18:50:26
e3f31730-3b7f-4016-bc0e-8d718ef81f9e;913af44a-f03f-4085-91c1-c9a0689c60c8;I want to speak to someone who can fix this immediately.;text;email;2023-12-08 13:31:41;2023-12-26 18:50:26
e3f31730-3b7f-4016-bc0e-8d718ef81f9e;666dc308-5ff5-4b5d-9065-1947aa554ffc;How can I claim or report a damaged or missing shipment?;text;email;2023-12-26 21:55:55;2023-12-26 18:50:26
46fd33e7-01c8-461a-b6bf-54649e5125c4;9a80df16-2c01-4327-98d9-83e65e77588d;You are the best! You answered all my questions and gave me some great tips and advice. Can I subscribe to your newsletter or blog to get more updates?;text;email;2023-10-15 23:35:52;2023-12-26 18:50:26
46fd33e7-01c8-461a-b6bf-54649e5125c4;f703b302-597d-4f4d-a2f5-e84731512ee3;How can I contact you if I have a question or complaint?;text;email;2023-11-02 20:25:12;2023-12-26 18:50:26
46fd33e7-01c8-461a-b6bf-54649e5125c4;d3a6cf6d-7148-4d7a-a7eb-7222c77d6be9;How can I activate or deactivate my card or account?;text;email;2023-11-02 20:25:23;2023-12-26 18:50:26
46fd33e7-01c8-461a-b6bf-54649e5125c4;970f6fc3-3877-4049-9248-f8c4ef0ee92e;You are a star. You listened to my needs and provided me with the best solution for my situation. How can I thank you and recommend you to others who might need your help?;text;email;2023-11-20 07:18:05;2023-12-26 18:50:26
46fd33e7-01c8-461a-b6bf-54649e5125c4;c341ec85-2979-4121-afb8-8135f3993221;How can I get an extension or grace period for my payment?;text;chat;2023-12-08 16:41:59;2023-12-26 18:50:26
46fd33e7-01c8-461a-b6bf-54649e5125c4;534dd1f2-ef2a-479c-8915-de3c6fc71748;How do I contact customer support?;text;email;2023-12-08 16:42:00;2023-12-26 18:50:26
